1.0	20191127-210600_875_live.pkl	Knives Out	The seeker enjoys action, romance, and mystery movies. They are a fan of the James Bond movies and actors like Chris Evans and Daniel Craig. They are sensitive to animal deaths in movies and avoid movies with such content. They have watched Joker and Jurassic World.	Casino Royale|Skyfall|Spectre|GoldenEye|Kingsman: The Secret Service|Knives Out|Mission: Impossible - Rogue Nation|Avengers: Age of Ultron|The Avengers|Top Gun: Maverick	[Wanted|Jurassic World: Fallen Kingdom|Spectre|Jurassic World|Quantum of Solace|John Wick|Skyfall|Mechanic: Resurrection|Jason Bourne|Kingsman: The Secret Service|Jack Reacher|Hunter Killer|Tomorrow Never Dies|The Hunter's Prayer|The Dark Knight Rises|Extraction|Mechanic: Resurrection|Mission: Impossible III|Mission: Impossible II|The Lost World|Knives Out|Searching|Knight and Day|Casino Royale|Fifty Shades of Grey|John Wick: Chapter 2|Indiana Jones and the Last Crusade|Joker|Noah|The Nice Guys|The Predator|Jurassic Park|Killer Elite|Wanted: Dead or Alive|The Nice Guys|Die Another Day|The Nice Guys|Entrapment|Mission: Impossible|Terminator Genisys|Urge|Shooter|Ripley's Game|Taking Lives|Transformers: Age of Extinction|Search and Destroy|Furious 7|Ready Player One|Predator|Tomb Raider|Kingsman: The Golden Circle|Inception|Gone|The Bourne Legacy|Eliminators|Parker|GoldenEye|Following|Licence to Kill|The Rover|The Hunger Games: Mockingjay - Part 2|Wildlife|Reach Me|Mr. Right|Killers|Kong: Skull Island|Self/less|Spy|Journey 2: The Mysterious Island|Collide|Kill Your Friends|Solace|I Am Number Four|The Nice Guys|Ready Player One|Batman Begins|Avengers: Age of Ultron|Alien Hunter|Mission: Impossible - Rogue Nation|Renaissance|Divergent|The Avengers|Identity|Thunderball|Transformers: The Last Knight|Top Gun: Maverick|Target|Mission: Impossible - Rogue Nation|Zodiac|Nerve|Lethal Weapon|Casino Royale|Jumper|Wind River|The Revenant|Blood Diamond|Deadpool|Looper|Insurgent|Prestige, The]
1.0	20191130-130606_969_live.pkl	Terminator: Dark Fate	The seeker enjoys futuristic sci-fi movies and likes 'Back to the Future'. He/she is familiar with the Terminator films and knows Arnold Schwarzenegger is in them.	Back to the Future|Back to the Future Part II|Back to the Future Part III|Terminator 2: Judgment Day|Terminator: Dark Fate|Blade Runner|Blade Runner 2049|Total Recall|Tron|Ready Player One	[Terminator 2: Judgment Day|T2 3-D: Battle Across Time|Terminator Genisys|Back to the Future|Terminator 3: Rise of the Machines|Back to the Future Part III|Terminator: Dark Fate|Blade Runner|Terminator Salvation|Total Recall|Back to the Future Part II|Last Action Hero|Predator|Tron|Running Man, The|Commando|Junior|Commando|Trancers|Back in Time|Future Zone|Battlefield Earth|Westworld|Tron: Legacy|End of Days|Trancers III|THX 1138|Transformers: Age of Extinction|Twins|Time Chasers|Making Mr. Right|Mad Max Beyond Thunderdome|Silent Running|Blade Runner 2049|True Lies|Time After Time|Replicant|Wanted: Dead or Alive|Eraser|Terminus|Scanners|Time Runner|Looker|Short Circuit 2|Blast from the Past|Forever Young|Conan the Destroyer|Dune|Jingle All the Way|Endgame|Starman|Kindergarten Cop|Sleeper|Gamer|Android|Future War|2001: A Space Odyssey|Romancing the Stone|Red Sonja|Looper|Freejack|Transformers: Revenge of the Fallen|Yor, the Hunter from the Future|Ready Player One|Beyond the Time Barrier|Highlander|Eliminators|Tomorrowland|Conan the Barbarian|Star Wars: Episode V - The Empire Strikes Back|Armageddon|Wanted|Exterminators of the Year 3000|Ready Player One|Cherry 2000|Futureworld|Total Recall|2010: The Year We Make Contact|Last Starfighter, The|Frankenstein Unbound|Future Kick|Terminus|Equalizer 2000|Star Trek III: The Search for Spock|Stargate|Transcendence|Radioactive Dreams|Heavy Metal 2000|Megaforce|Hercules in New York|Close Encounters of the Third Kind|The Time Travelers|Leonard Part 6|Rogue Warrior: Robot Fighter|Transformers|Jupiter Ascending|Logan's Run|Johnny Mnemonic|Dexter's Laboratory: Ego Trip|The Last Stand]
0.0	20191201-150808_843_live.pkl	A Christmas Story 2	The seeker generally likes comedies, especially those with risque humor or off-the-wall comical circumstances.	Movie 43|Orgazmo|Dirty Movie|Serial Mom|Spaceballs|Mallrats|Happiness|Big Lebowski, The|Trainwreck|Funny People	[Favorite Deadly Sins|Looking for Comedy in the Muslim World|Little Miss Sunshine|The Serious|Movie 43|Funny About Love|Good Dick|Mallrats|The Comedy|Grumpier Old Men|Big Lebowski, The|Chasers|Sex Is Comedy|Search and Destroy|Entertainment|American Strays|Group Sex|Happiness|Geography Club|Flirting With Disaster|Dinner for Schmucks|Finding Joy|Pervert!|Romantic Comedy|Sleeper|Divine Access|Wanderlust|Comic Book Villains|Cougar Hunting|Finding Bliss|The Nice Guys|Mike Birbiglia: Thank God for Jokes|Reach Me|Boulevard|Luster|Loser|Austin Found|Casual Encounters|The Catechism Cataclysm|Harold and Maude|Foul Play|Shortbus|Serial Mom|Paradise|Stay Tuned|Finders Keepers|Outrageous Fortune|Funny People|Hector and the Search for Happiness|Pure Luck|Happy|I Am Comic|Death at a Funeral|As Good as It Gets|Lovesick|Bucky Larson: Born to Be a Star|Trainwreck|Dirty Movie|Polyester|Pitching Tents|Somebody Up There Likes Me|Happy Hunting|Spaceballs|Hunter Gatherer|Fletch|American Virgin|Looking For Love|Don Jon|Go Fish|Orgazmo|Mardi Gras: Spring Break|Passion Play|Roger Dodger|The Nice Guys|American Splendor|Barfly|EDtv|The Nice Guys|Clueless|Heatseeker|Waiting for Guffman|Casual Sex?|Barton Fink|Autoerotic|The Movie Hero|Pecker|Someone Marry Barry|The Meddler|Young Adult|Happy Burnout|The Nice Guys|Smart People|Distractions|Stranger Than Paradise|Cecil B. DeMented|Lost in Yonkers|Happythankyoumoreplease|Sex Drive|Annie Hall|Brother Nature]
0.0	20191203-173914_685_live.pkl	Ready or Not	The seeker loves thrillers and suspenseful movies. He/she liked the movie 'Get Out' because of the acting and the movie itself. He/she also enjoyed the movie 'Ma' and tries to watch every thriller and suspense movie that comes out. The last movie he/she attempted to watch was 'IT Chapter 2' but didn't finish it due to its length.	Get Out|Us|It|It Follows|Sinister|Split|The Conjuring|The Visit|10 Cloverfield Lane|Hush	[Get Out|It|Hide and Seek|Ma|Us|It Follows|Searching|The Conjuring 2|Gone|It Comes at Night|Insidious: Chapter 2|Split|Mirrors 2|Mother!|Getaway|Escape Room|Mama|Saw|Devil|Among Us|Boo 2! A Madea Halloween|Hatchet II|Sinister|Follow|Oldboy|Rings|Halloween|Hide and Seek|Saw|The Intruder|The Maze Runner|Trapped|Escape Room|The Last Exorcism Part II|The Hoarder|Hidden|Bird Box|Crawl|P2|Sinister 2|Big Sky|Slender Man|The Host|In Fear|The Wait|Fear Itself|The Watcher|V/H/S/2|The Hitcher II: I've Been Waiting|Chasing the Devil|10 Cloverfield Lane|Wish Upon|The Invoking 2|Poltergeist|Saw II|Brick|Trapped Ashes|The Hunt|Keep Watching|The Conjuring|Jigsaw|I Heart Monster Movies|The Conjuring|A Monster Calls|The Visit|The Nun|Mike Boy|Circle|House Hunting|The Revenant|Entrance|Happy Death Day 2U|The Guest|Scream 2|I.T.|A Resurrection|Hunter Gatherer|Hard Target 2|Leave|Take Shelter|We Go On|Hayride 2|Sometimes They Come Back... for More|Final Destination 2|Oculus|Paranormal Activity 2|Insidious: Chapter 3|Eaters|Slender|Scream|The Equalizer 2|The Remaining|I-Lived|Come And Find Me|Room|Hesher|Land of Smiles|Contracted: Phase II|Jumanji: The Next Level|Hush]
0.0	20191201-133417_454_live.pkl	The Grinch	The seeker enjoys Christmas movies, especially older classics and feel-good movies. The seeker likes family-oriented movies and content about royalty. The seeker is a fan of Danica McKellar, especially her role in The Wonder Years.	Miracle on 34th Street|One Magic Christmas|A Royal Christmas|A Prince for Christmas|Christmas Land|A Christmas Wish|The Search for Santa Paws|Santa Claus: The Movie|Mrs. Santa Claus|Ernest Saves Christmas	[A Royal Christmas|A Prince for Christmas|Secret Santa|All I Want for Christmas|Chasing Christmas|12 Wishes of Christmas|Journey Back to Christmas|Happy Christmas|Pete's Christmas|A Perfect Christmas List|My Christmas Love|The Search for Santa Paws|One Magic Christmas|12 Gifts of Christmas|A Christmas Wish|Scrooged|A Nanny for Christmas|Naughty or Nice|12 Dogs of Christmas: Great Puppy Rescue|Ever After: A Cinderella Story|Merry Kissmas|Penelope|The Nutcracker Prince|Miracle on 34th Street|Christmas Land|Mistletoe Over Manhattan|Surviving Christmas|Welcome Home, Roxy Carmichael|Christmas Angel|Mrs. Santa Claus|A Christmas Romance|Home for the Holidays|Holidays|Little Miss Sunshine|Christmas with the Kranks|Love the Coopers|Roman Holiday|Sleepless in Seattle|Finding Joy|Darling Companion|Cheaper by the Dozen|The Christmas Dragon|Never Been Kissed|Saving Christmas|Cheaper by the Dozen 2|Santa Claus: The Movie|Four Christmases|Mrs. Doubtfire|Prancer|Christmas Cottage|New Year's Eve|White Reindeer|13 Going on 30|The Fitzgerald Family Christmas|What Women Want|In Search of a Midnight Kiss|Just in Time for Christmas|St. Nick|Another Cinderella Story|Christmas Cupid|The Christmas Candle|What a Girl Wants|Next Stop Wonderland|My Summer Prince|Missing William|My One and Only|The Meddler|Snow|Annie|Noel|Ramona and Beezus|Quest for Camelot|Almost Christmas|Unaccompanied Minors|Happily Ever After|Eloise at the Plaza|Larry Crowne|Miracle on 34th Street|Austin Found|Must Love Dogs|Cinderella|Barbie in the Nutcracker|Some Kind of Wonderful|Three Wishes|A Bride for Christmas|Deathstalker II|Snow Queen|The Big Ask|Answers to Nothing|Love Finds You in Valentine|16 Wishes|A Christmas Story 2|Ernest Saves Christmas|A Very Murray Christmas|StarStruck|Last Christmas|Happily N'Ever After 2|Read It and Weep|Finding Bliss|Wonderstruck]
1.0	20191128-175033_105_live.pkl	Night School	The seeker's favorite type of movie is comedy. He/she liked the movie 'Christmas Vacation' and loved both 'Grown Ups' movies. He/she is unfamiliar with the movie 'Good Boys', but has heard of 'Night School' and is now willing to check it out.	Grown Ups|Grown Ups 2|Night School|Vacation|National Lampoon's Vacation|Old School|Superbad|21 Jump Street|22 Jump Street|School of Rock	[Night School|Grown Ups|Good Kids|Good Boys|Grown Ups 2|Old School|Mallrats|Superbad|Vacation|Sorority Boys|Slackers|Wide Awake|Good Dick|National Lampoon's Senior Trip|The Night Before|Slow Learners|22 Jump Street|Sex Drive|21 Jump Street|Back to School|Love the Coopers|Summer School|American Virgin|Bad Roomies|Bad Santa 2|Four Christmases|Role Models|Class Act|Say Goodnight|The Best Man Holiday|College Road Trip|School of Rock|Bad Moms|November Criminals|High School High|Fraternity Vacation|Game Night|Accepted|Very Bad Things|Someone Marry Barry|House Party 3|Back in the Day|Road Trip|Blockers|Night Owls|The D Train|Reality Bites|Good Burger|College|Teachers|A Bad Moms Christmas|School Dance|Bad Night|Clerks|School for Scoundrels|Slumber Party Massacre III|General Education|Get Santa|Fred Claus|Bad Santa|Unaccompanied Minors|Dirty Grandpa|National Lampoon's Vacation|Vamps|Clueless|Mama's Boy|Straight A's|Tommy Boy|Home Alone|Bad Boys|Grow Up, Tony Phillips|Naughty or Nice|Fired Up|Snowboard Academy|Casual Sex?|Revenge of the Nerds II: Nerds in Paradise|Christmas Eve|Dead Man on Campus|Bad News Bears|Pitching Tents|Horrible Bosses 2|Gremlins 2: The New Batch|Daddy's Home 2|Not Cool|Fanboys|Mid90s|Get Hard|Renaissance Man|Holidays|Revenge of the Nerds|Graduation|Home Alone 2: Lost in New York|Fright Night 2: New Blood|Paul Blart: Mall Cop 2|Old Dogs|Neighbors|All Nighter|Home Alone 4|Johnny Be Good|Dead Poets Society]
0.0	20191130-065001_91_live.pkl	Gemini Man	The seeker enjoys thriller and horror movies. They have seen 'IT Chapter 2' (which they consider more horror) and 'Glass' (which they consider a thriller, though the recommender sees it as more drama/fantasy). They are open to thriller recommendations.	It|Split|Us|Don't Breathe|Hush|Sinister|The Conjuring 2|It Follows|Get Out|Doctor Sleep	[Glass|It Follows|It|The Conjuring 2|Split|Insidious: Chapter 2|V/H/S/2|Halloween|I.T.|Hatchet II|P2|Fear Itself|Happy Death Day 2U|Poltergeist|It Comes at Night|Sinister 2|Goosebumps 2: Haunted Halloween|John Wick: Chapter 2|Us|They|Mirrors 2|Brick|Black Christmas|Final Destination 2|Sinister|The Hitcher II: I've Been Waiting|Mother!|Oculus|Slender Man|Crimson Peak|Rings|Friend Request|Mirrors|Don't Breathe|Doctor Sleep|The Guest|Paranormal Activity: The Ghost Dimension|In Fear|Insidious: Chapter 3|Fear X|Jigsaw|Hush|Within|Truth or Dare|Follow|Holidays|The Invoking 2|Pet Sematary|Happy Death Day|Cut!|Don't Hang Up|Hayride 2|The Good Neighbor|Nerve|The Watcher|Halloween II|The Dark Tower|Panic Room|Haunter|I Am Not a Serial Killer|Mama|Blade Runner 2049|The Nun|Fear, Inc.|The Hoarder|Cell|Tales of Halloween|Sometimes They Come Back... for More|Nocturnal Animals|Phantasm II|Searching|Now You See Me 2|Scream 3|Deadpool 2|Get Out|Nocturnal Animals|Jigsaw|Bird Box|Hereditary|Phantoms|Gerald's Game|Happy Death Day|Havenhurst|Hurt|Death Note|Psycho II|Bleed|Slender|Terminal|Among Us|Hellraiser: Hellseeker|The Revenant|I Spit on Your Grave 2|Insidious: The Last Key|Vampire|Scream 2|Intruder|The Purge: Anarchy|Sleepwalker|The Levenger Tapes]
0.0	20191129-124438_838_live.pkl	Paranormal Activity 3	The seeker is looking for a scary movie, preferably supernatural rather than gory. They enjoyed Paranormal Activity. They are also a big Stephen King fan, with The Shining being their favorite, and they also enjoyed Gerald's Game. They are interested in seeing Stephen King's newest movie, Dr. Sleep.	Doctor Sleep|The Shining|Gerald's Game|1408|Pet Sematary|It|The Conjuring|The Conjuring 2|Paranormal Activity|Insidious	[Doctor Sleep|Gerald's Game|Slender Man|Paranormal Activity|Sometimes They Come Back... for More|Poltergeist|Dead Awake|Coming Soon|Sinister|The Possession of Michael King|The Conjuring|The Conjuring|Slender|The Conjuring 2|Paranormal Activity 3|Dreamcatcher|Pet Sematary|Paranormal Activity 2|Insidious|Scared Stiff|Sleepwalkers|Paranormal Activity 4|The Caretaker|Paranormal Activity: The Marked Ones|1408|Poltergeist|Annabelle Comes Home|Halloween|Goosebumps|Sinister 2|Dreamkiller|Lights Out|Paranormal Activity: The Ghost Dimension|Mr. Hush|Chasing Sleep|Insidious: Chapter 2|Fear Lives Here|It Comes at Night|The Legend of Bloody Mary|Wish Upon|Room 237|Insidious: The Last Key|Altergeist|Sleepwalker|Goosebumps 2: Haunted Halloween|The Midnight Game|It Follows|The Dead Room|Patient Seven|The Invoking 2|The Midnight Man|Babysitter Wanted|Doctor Strange|Back to the Beyond|Among Us|Hide and Seek|Doctor Strange|It|Silent Night|You Can't Kill Stephen King|American Poltergeist|Insidious: Chapter 3|The Sleeper|Scanners|The Evil Within|Scream|Sometimes They Come Back... Again|Chasing the Devil|Perkins' 14|The Visit|Dead Awake|Before I Wake|Sleepless|Dead Awake|Headspace|Suburban Gothic|Sleepy Hollow|Red Mist|Shutter|Silent Hill|Paranormal Activity: The Ghost Dimension|The Watcher|Crimson Peak|See No Evil 2|7 Nights Of Darkness|Stalker|The Babadook|Dread|Stitch|Saw|The Apparition|Satanic|The Thing|Spookies|Clinical|Incubus|Hidden|Dark Corners|Secret Window|Ritual]
0.0	20191127-112048_240_live.pkl	Dark Waters	The seeker generally likes gangster movies, action movies, and dramas. Specific action movies they enjoy include Die Hard, The Avengers, John Wick, and Highlander. For gangster movies, they liked Goodfellas, Casino, and The Godfather. They also appreciate movies inspired by true stories and find it fascinating when farfetched real-life events are adapted into films. They saw the trailer for For v Ferrari.	Goodfellas|Ford v Ferrari|John Wick|Heat|The Irishman|Casino|Collateral|Rounders|Hell or High Water|Usual Suspects, The	[Ford v Ferrari|Furious 7|Wanted|Need for Speed|Overdrive|The Fate of the Furious|Faster|John Wick|The Wannabe|Parker|Goodfellas|Strays|Redline|Find Me Guilty|Once Upon a Time in Venice|Mechanic: Resurrection|Mechanic: Resurrection|The Rover|Alto|Fast & Furious 6|Collateral|Assassins|Blastfighter|Heat|Search and Destroy|Galveston|Getaway|John Wick: Chapter 2|Domino|Firewall|The Irishman|Jack Reacher|Usual Suspects, The|Guy|Arsenal|Out for Justice|The Best Offer|Ronin|Diary of a Hitman|Bleed for This|The Collectors|The Hunter's Prayer|Seeking Justice|Free Fire|Shooter|One for the Money|Takers|Kick|Extraction|Fear and Loathing in Las Vegas|Killer Elite|Rounders|Freelancers|Avenging Angelo|Bad Boys for Life|The Equalizer 2|Heatseeker|Wanted: Dead or Alive|Killing Season|Revolver|Things to Do in Denver When You're Dead|Wheelman|Hell or High Water|The Lickerish Quartet|Out for a Kill|Brawl in Cell Block 99|Above the Law|Blade Runner 2049|For the Love of Money|The Transporter Refueled|Driven|Chasers|Blunt Force Trauma|Lucky Number Slevin|Hard Target|Most Wanted|Get Shorty|Hitman's Run|Ripley's Game|Ghost Dog: The Way of the Samurai|Hunter Killer|Killers|Fury|Miami Vice|Hot Pursuit|Drive Hard|Blood Money|The Transporter Refueled|Triple 9|The Stalker|To Die For|Lethal Weapon 4|The Nice Guys|The Italian Connection|Desiree|Cat Chaser|Baby Driver|Collide|Blade Runner]
1.0	20191128-144027_574_live.pkl	Guardians of the Galaxy	The seeker likes action movies that also involve comedy. He/she liked Avengers: Endgame because of its pacing and effects. He/she loves Chris Pratt and also liked Deadpool because of its combination of comedy and action. He/she likes Will Smith.	Deadpool|Guardians of the Galaxy|Guardians of the Galaxy Vol. 2|Deadpool 2|Avengers: Endgame|Thor: Ragnarok|Ant-Man|Ant-Man and the Wasp|Bad Boys for Life|21 Jump Street	[Deadpool|Avengers: Endgame|Guardians of the Galaxy|Guardians of the Galaxy|Avengers: Infinity War|Deadpool 2|Avengers: Age of Ultron|Suicide Squad|Guardians of the Galaxy Vol. 2|Bright|Guardians of the Galaxy Vol. 2|Ant-Man and the Wasp|The Avengers|Hancock|Gemini Man|Captain America: The First Avenger|Ant-Man|Thor: Ragnarok|Thor|Wanted|Black Panther|Captain America: Civil War|21 Jump Street|Ready Player One|Spider-Man: Homecoming|Star Wars: The Last Jedi|Bad Boys for Life|Ready Player One|Captain America: The Winter Soldier|The Amazing Spider-Man|G.I. Joe: Retaliation|After Earth|Iron Man 2|Focus|John Wick|Get Smart|Kick-Ass|Spies in Disguise|Mr. Right|Army of One|Knight and Day|Transformers: The Last Knight|Fantastic Four|Mechanic: Resurrection|Furious 7|Captain Marvel|X-Men: Apocalypse|American Ultra|Transformers: Age of Extinction|Megamind|Star Wars: The Rise of Skywalker|Super|22 Jump Street|MacGruber|Aquaman|Planet 51|Doctor Strange|Looper|Shazam!|The Equalizer 2|Captain America: The First Avenger|Jupiter Ascending|Inception|Jurassic World: Fallen Kingdom|Operation Endgame|Jason Bourne|Mechanic: Resurrection|Spy|Power Rangers|Passengers|The Hunger Games: Mockingjay - Part 2|War Machine|Star Trek Beyond|Green Lantern|Nerdland|Captain America|The Predator|Shooter|The Nice Guys|Edge of Tomorrow|John Wick: Chapter 2|Interstellar|Jack Reacher|The Nice Guys|Scott Pilgrim vs. the World|Transformers: Revenge of the Fallen|The Dark Knight Rises|Rise of the Guardians|Incredibles 2|The Martian|The Spiderwebhouse|Death Note|Extraction|Swiss Army Man|Kick|The Lego Movie|6 Underground|Takers|The Nice Guys|Big Hero 6]
