id	recommend_item	summarized_conversation	recommend_movie_list	movie_candidate_list	recall
20191127-210600_875_live.pkl	Knives Out (2019)|Star Wars: The Rise of Skywalker (2019)	The seeker enjoys action, romance, and mystery movies, with a particular interest in movies featuring Chris Evans and the John Wick series. However, they are sensitive to animal deaths in movies and prefer films without such content.	Knives Out|The Nice Guys|Gone|Searching|Jack Reacher	John Wick|John Wick: Chapter 2|The Hunter's Prayer|Wanted|Searching|Jack Reacher|Mechanic: Resurrection|Hunter Killer|Rise: Blood Hunter|Death Hunt|American Strays|Mechanic: Resurrection|Heatseeker|Constantine|The Nice Guys|The Nice Guys|The Huntsman: Winter's War|Knives Out|Happy Hunting|The Hunt|Mission: Impossible III|The Nice Guys|Extraction|Gone|Come And Find Me|Hunter Gatherer|Sparks|The Hunters|The Huntsman: Winter's War|Search and Destroy|American Assassin|Furious 7|Shooter|Reach Me|Boone: The Bounty Hunter|Deadpool|The Nice Guys|Once Upon a Time in Venice|The Hunt|Mr. Right|Self/less|Fifty Shades of Grey|Bright|Jurassic World: Fallen Kingdom|Wind River|Hard Target|Ink|Mission: Impossible II|Killers|Avenger|Jason Bourne|Mission: Impossible|R.I.P.D.|The Rover|Elektra|American Sniper|Highlander|The Accountant|The Harvest|Hard Target 2|Guardians of the Galaxy|The Equalizer 2|Death Note|Reclaim|Slow West|I Am Number Four|The Hunger Games: Mockingjay - Part 2|Snow White and the Huntsman|Blade Runner 2049|The Hateful Eight|Insurgent|The Survivalist|Pig Hunt|Equalizer 2000|Keanu|Austin Found|Divergent|Winchester|The Equalizer|Star Wars: The Last Jedi|Desiree|Prey of the Jaguar|Assassins|Kin|The Mind's Eye|Kill List|Hunt to Kill|Land of Smiles|Finding Joy|Twilight|The Power of Few|12 Rounds|The Revenant|Meeting Evil|Crying Freeman|November Criminals|The Host|The Northlander|Equilibrium|The Predator	0.5
20191130-130606_969_live.pkl	Terminator: Dark Fate (2019)	The seeker enjoys sci-fi movies, particularly those with futuristic or time travel themes, as evidenced by their fondness for 'Back to the Future' and their interest in 'Terminator.'	Back to the Future|Terminator 2: Judgment Day|Back to the Future Part II|Looper|Tron: Legacy	Back to the Future|Back to the Future Part III|Back to the Future Part II|Terminator Genisys|Blade Runner|T2 3-D: Battle Across Time|Terminator 2: Judgment Day|Back in Time|Time Chasers|Time Runner|Trancers|THX 1138|Trancers III|Terminator Salvation|Terminator 3: Rise of the Machines|Terminator: Dark Fate|Search and Destroy|Future Zone|Mallrats|Contact|Tron: Legacy|Battlefield Earth|Blade Runner 2049|Tron|Looper|Star Trek Beyond|Stalker|Fateful Findings|Silent Running|Star Trek III: The Search for Spock|Scanners|Making Mr. Right|Future War|Replicant|Time After Time|Heatseeker|Total Recall|Ready Player One|Star Wars: Episode V - The Empire Strikes Back|Tomorrowland|2001: A Space Odyssey|After Last Season|Looker|The Time Travelers|Last Starfighter, The|Serenity|Nemesis 2: Nebula|Westworld|Close Encounters of the Third Kind|The Host|TiMER|Yor, the Hunter from the Future|Synchronicity|Transformers: Age of Extinction|Sleeper|Time Changer|Short Circuit 2|Star Wars: Episode VI - Return of the Jedi|Ready Player One|Forever Young|Predator|Rogue Warrior: Robot Fighter|Dexter's Laboratory: Ego Trip|Stargate|Jumper|Moontrap Target Earth|Dune|Transformers: Revenge of the Fallen|Blast from the Past|Transcendence|Gamer|Cherry 2000|Logan's Run|Beyond the Time Barrier|Chasers|Somewhere in Time|My Future Boyfriend|Screamers: The Hunting|Freejack|Explorers|Scavengers|Retroactive|Raiders of the Sun|Heavy Metal 2000|Alien Hunter|Guardians of the Galaxy|Star Runners|Star Trek Into Darkness|The Nostalgist|The Butterfly Effect 2|The Future|Love Story 2050|Star Trek V: The Final Frontier|The Mind's Eye|Future Kick|Star Kid|The Predator|Terror from the Year 5000|Scout|Starman	0.0
20191201-150808_843_live.pkl	A Christmas Story (1983)	The seeker enjoys comedy movies, particularly those with risqué humor or off-the-wall comical situations.	Movie 43|Superbad|Dirty Movie|Sex Drive|Hall Pass	Movie 43|Favorite Deadly Sins|Looking for Comedy in the Muslim World|Mallrats|Good Dick|Group Sex|Sex Is Comedy|Happiness|Finding Bliss|Finding Joy|Funny About Love|The Comedy|Little Miss Sunshine|Casual Encounters|Dinner for Schmucks|Cougar Hunting|Flirting With Disaster|The Serious|Loser|American Virgin|Mardi Gras: Spring Break|Funny People|Entertainment|Pervert!|Extreme Movie|Dirty Movie|Sex Drive|Grown Ups|Grumpier Old Men|The Nice Guys|Austin Found|Four Rooms|Desperately Seeking Susan|Don Jon|Mike Birbiglia: Thank God for Jokes|Bucky Larson: Born to Be a Star|Wanderlust|Pecker|Geography Club|I Am Comic|Paradise|Casual Sex?|Romantic Comedy|Death at a Funeral|A Good Old Fashioned Orgy|Pitching Tents|Trainwreck|Divine Access|Dirty Grandpa|Polyester|Someone Marry Barry|Reach Me|Hall Pass|Happy Hunting|The Nice Guys|Brother Nature|Sleeper|Luster|The Nice Guys|Clerks|My Awkward Sexual Adventure|Slow Learners|The Movie Hero|Harold and Maude|What Women Want|Bridesmaids|Dirty Weekend|Superbad|Cecil B. DeMented|The Nice Guys|How to Be Single|InAPPropriate Comedy|Slacker|Waiting for Guffman|7 Chinese Brothers|Somebody Up There Likes Me|Humpday|Bedazzled|Serial Mom|Shortbus|Clueless|As Good as It Gets|Roger Dodger|Joy of Sex|Coming Soon|Drop Dead Fred|Nerdland|The Catechism Cataclysm|Autoerotic|Bowfinger|Smart People|Orgazmo|Conception|Boulevard|Gotcha!|Addicted to Love|Meet the Parents|Behaving Badly|Laggies|Distractions	0.0
20191203-173914_685_live.pkl	Ready or Not (2019)	The seeker prefers thriller and suspenseful movies, having enjoyed films like 'Get Out' and 'Ma'. They are interested in watching new thrillers and are eager to learn more about movie plots, including spoilers.	Us|Hidden|The Intruder|Sinister|Searching	Get Out|Mother!|Ma|Us|Hidden|The Intruder|Among Us|Sinister|Searching|Hide and Seek|Following|It Follows|Follow|Oldboy|Rings|Rise: Blood Hunter|Mirrors 2|The Hunt|Nocturnal Animals|Gone|Split|The Guest|Stalker|Mama|The Hoarder|Black Christmas|Personal Shopper|The Host|Prisoners|Sorrow|The Survivalist|Halloween|Babysitter Wanted|Anon|Come And Find Me|Slender Man|Bird Box|Mike Boy|Crave|The Conjuring 2|The Summoning|Nocturnal Animals|Dark Places|Blackout|Crawl|Death Note|Eaters|Stoker|The Nun|Escape Room|The Invitation|Proxy|10 Cloverfield Lane|Getaway|The Wait|Hide and Seek|Knives Out|Love Me|Friend Request|Passengers|Crimson Peak|The Mummy|Jigsaw|Poltergeist|Hunter Gatherer|The Remaining|Collector|House of 9|Gone Girl|How to Follow Strangers|Desiree|Keep Watching|Bright|Wish Upon|Destroyer|It Comes at Night|Within|Slender|To.get.her|Saw|Truth or Dare|The Babysitter|Mockingbird|Survivor|Gemini|Hurt|Terminal|Sinister 2|Jackals|The Watcher|Security|The Caretaker|The Sleeper|Hotel Artemis|The Maze Runner|The Good Neighbor|The Levenger Tapes|Midsommar|Residue|Kin	0.0
20191201-133417_454_live.pkl	Crown for Christmas (2015)|The Grinch (2018)	The seeker enjoys Christmas movies, especially older classics, and finds Hallmark movies to be feel good and fun. They prefer family-oriented movies suitable for kids, are fond of Danica McKellar, and enjoy content related to royalty. They are open to watching classic movies and prefer family-friendly content.	A Royal Christmas|A Christmas Romance|The Christmas Candle|A Nanny for Christmas|Christmas Land	A Royal Christmas|A Prince for Christmas|A Perfect Christmas List|Secret Santa|Journey Back to Christmas|Chasing Christmas|My Christmas Love|A Christmas Romance|12 Wishes of Christmas|All I Want for Christmas|12 Gifts of Christmas|Naughty or Nice|Home for the Holidays|One Magic Christmas|Saving Christmas|Christmas Land|Pete's Christmas|A Christmas Wish|Darling Companion|Penelope|Merry Kissmas|Christmas Cupid|Scrooged|12 Dogs of Christmas: Great Puppy Rescue|Mistletoe Over Manhattan|The Search for Santa Paws|Ever After: A Cinderella Story|Four Christmases|Happy Christmas|Mrs. Santa Claus|Christmas Cottage|The Christmas Candle|Christmas Angel|Surviving Christmas|Santa Claus: The Movie|Love the Coopers|Christmas in Connecticut|The Christmas Dragon|Just in Time for Christmas|Christmas with the Kranks|Prancer|What Women Want|The Nutcracker Prince|A Nanny for Christmas|The Fitzgerald Family Christmas|White Christmas|Miracle on 34th Street|Holidays|Alone for Christmas|A Bride for Christmas|Must Love Dogs|The Nativity|White Reindeer|Coming Home for Christmas|Please Give|Love Finds You in Valentine|My One and Only|Cheaper by the Dozen 2|Almost Christmas|Miracle on 34th Street|Austin Found|Noel|Ernest Saves Christmas|Snow Queen|Barbie in the Nutcracker|My Summer Prince|Deck the Halls|Peeples|Finding Joy|Christmas in July|Cinderella|Happily Ever After|A Christmas Story 2|Cheaper by the Dozen|Ella Enchanted|Last Christmas|St. Nick|Missing William|The Meddler|Home Alone 4|Santa Paws 2: The Santa Pups|Once Around|Children On Their Birthdays|Fred Claus|Mrs. Doubtfire|God's Country|Happily N'Ever After 2|Sarah, Plain and Tall|Beauty and the Beast: The Enchanted Christmas|Another Cinderella Story|Finding Bliss|What a Girl Wants|Love Finds You In Sugarcreek|Only You|Love Actually|I'm Not Ready for Christmas|New Year's Eve|Love, Wedding, Marriage|Happy Gilmore|A Very Murray Christmas	0.0
20191128-175033_105_live.pkl	Night School (2018)	The seeker enjoys comedy movies, having liked 'Christmas Vacation' and the 'Grown Ups' series. They are open to watching comedies featuring actors like Kevin Hart, as indicated by their interest in a recommended movie starring him.	Get Hard|Ride Along|Vacation|The Wedding Ringer|Central Intelligence	Get Hard|Grown Ups|The Wedding Ringer|Grown Ups 2|Vacation|Kevin Hart: What Now?|Dirty Grandpa|Ride Along|Four Christmases|Night School|Someone Marry Barry|Paul Blart: Mall Cop 2|Home Alone|Christmas with the Kranks|Get Santa|Dumb and Dumber To|Mallrats|Happy Christmas|Death at a Funeral|Love the Coopers|All I Want for Christmas|Kevin Hart: Let Me Explain|Daddy's Home 2|Killing Hasselhoff|Mardi Gras: Spring Break|About Last Night|Dinner for Schmucks|Home Alone 4|Home Alone 2: Lost in New York|Mike and Dave Need Wedding Dates|Fred Claus|The Secret Life of Pets 2|Dirty 30|Shrink|House Party 3|Fifty Shades of Black|Horrible Bosses|A Merry Friggin' Christmas|Yes Man|Due Date|Larry Crowne|Almost Christmas|Up in the Air|A Perfect Christmas List|The D Train|Ride Along 2|Saving Christmas|Casual Encounters|Brother Nature|College Road Trip|Clerks|Central Intelligence|Lottery Ticket|Fraternity Vacation|Paul Blart: Mall Cop|A Very Murray Christmas|Masterminds|Everybody Wants Some!!|Everybody Wants Some!!|Johnson Family Vacation|Holidays|Elf|Mid90s|Why Him?|Get Him to the Greek|Funny People|Thunderstruck|Horrible Bosses 2|What's the Matter with Gerald?|Pee-wee's Big Holiday|The Resurrection of Gavin Stone|Couples Retreat|Wedding Crashers|Office Christmas Party|Hall Pass|Jeff, Who Lives at Home|Get a Job|Road Trip|Unfinished Business|Get Smart|Pitching Tents|Aloha|Reach Me|Happiness|Surviving Christmas|Somebody Up There Likes Me|National Lampoon's Vacation|Smart People|Top Five|Knocked Up|House Party 2|Weekend at Bernie's|A Bad Moms Christmas|Father Figures|Chasing Christmas|Superbad|Sex Drive|Safety Not Guaranteed|I Love You, Man|7 Chinese Brothers	0.0
20191130-065001_91_live.pkl	Gemini Man (2019)	The seeker enjoys thriller and horror movies, has recently watched 'IT Chapter 2,' and is open to sci-fi elements. They showed interest in a movie starring Will Smith and accepted a recommendation that involves cloning and a hitman story.	Gemini Man|I, Robot|Looper|Enemy of the State|Hitman: Agent 47	Gemini Man|Replicant|Suicide Squad|I, Robot|Self/less|Looper|Surrogates|Wanted|Bright|Enemy of the State|Identicals|Blade Runner 2049|Bad Boys for Life|Blade Runner|Hitman: Agent 47|John Wick: Chapter 2|Mechanic: Resurrection|After Earth|Kin|Mission: Impossible II|Assassins|Focus|Criminal|Mechanic: Resurrection|Diary of a Hitman|The Lookalike|Deadpool|Impostor|Species|Hitman|The Assignment|I Am Legend|Spawn|Good Will Hunting|Virtuosity|Copycat|The Hit List|Drive|Keanu|Kill List|Predator 2|Ride Along 2|Johnny 2.0|Hancock|Fallen|Deadpool 2|The Equalizer 2|Search and Destroy|Hologram Man|Multiplicity|Hollow Man|John Wick|The Clones|American Assassin|I.T.|RoboCop 2|Ripley's Game|Death Note|Blade II|Transcendence|Vice|Blade|Scream 2|Ghost Dog: The Way of the Samurai|Face/Off|Lucky Number Slevin|Hitman's Run|Mimic 2|Hollow Man II|Aladdin|iBoy|Bad Company|Furious 7|Collateral|Extraction|Jack Reacher|Cyborg Cop II|Interview with a Hitman|Parker|Bad Boys II|Redemption|Collateral Beauty|Most Wanted|Jason Bourne|Spies in Disguise|Alita: Battle Angel|Die Hard 2|The Hitman's Bodyguard|Gattaca|The Hitcher II: I've Been Waiting|Route 666|Triple 9|Mindhunters|The Wannabe|Smokin' Aces 2: Assassins' Ball|68 Kill|Killing Gunther|The Gunman|Lawnmower Man 2: Beyond Cyberspace|Nemesis 2: Nebula	1.0
20191129-124438_838_live.pkl	Crawl (2019)|Pitch Black (2000)|Chronicles of Riddick (2004)|Riddick (2013)	The seeker enjoys scary movies, particularly those with supernatural themes, and is not necessarily looking for gory content. They have enjoyed movies like 'Paranormal Activity' and are fans of Stephen King, with favorites including 'The Shining' and 'Gerald's Game'. They are interested in recent movies, including the second 'IT' movie and Stephen King's newest adaptation, 'Dr. Sleep'.	Doctor Sleep|It|Pet Sematary|The Conjuring 2|Gerald's Game	Doctor Sleep|It|Sometimes They Come Back... for More|Slender Man|Gerald's Game|Poltergeist|It Follows|The Conjuring 2|Slender|Room 237|I Heart Monster Movies|Goosebumps 2: Haunted Halloween|Sinister|It Comes at Night|The Invoking 2|Paranormal Activity|Book of Shadows: Blair Witch 2|Goosebumps|The Conjuring|Sinister 2|The Conjuring|Dreamcatcher|Poltergeist|The Watcher|Paranormal Activity 3|Pet Sematary|Among Us|Insidious: Chapter 2|Dead Awake|Paranormal Activity 2|Dreamkiller|The Midnight Man|Wish Upon|The Caretaker|V/H/S/2|The Midnight Game|Annabelle Comes Home|Paranormal Activity: The Ghost Dimension|Babysitter Wanted|The Sleeper|The Ritual|Fear Itself|Paranormal Activity: The Marked Ones|American Poltergeist|Chasing Sleep|The Possession of Michael King|Insidious: Chapter 3|Sleepwalkers|Blair Witch|Spookies|Scared Stiff|Mr. Hush|Fear Lives Here|Halloween|Insidious|Sleepwalker|In Fear|Stalker|The Babadook|Satanic|Paranormal Activity 4|Reeker|Chasing the Devil|The Evil Within|The Dead Room|The Dark Tapes|Holidays|The Legend of Bloody Mary|Incubus|Odd Thomas|Scream|Friend Request|Scarewaves|Insidious: The Last Key|The Quiet Ones|Mostly Ghostly 3: One Night in Doom House|Don't Be Afraid of the Dark|Grave Encounters 2|See No Evil 2|Lake Nowhere|I Am Not a Serial Killer|1408|Altergeist|Friday the 13th|Suburban Gothic|Saw|I've Been Waiting for You|Ghosts of Darkness|Camp Dread|Dark Skies|Dark Corners|Headspace|Abandoned Dead|Patient Seven|Lights Out|Halloween|Paranormal Activity: The Ghost Dimension|Night Flier|Sometimes They Come Back... Again|Flicker	0.0
20191127-112048_240_live.pkl	Dark Waters (2019)	The seeker enjoys gangster, action, and drama movies, particularly those inspired by true stories. They like movies with intense plots, such as Die Hard, The Avengers, and The Godfather. They are also interested in watching movies based on real events and are open to recommendations like Ford v Ferrari.	American Gangster|The Irishman|John Wick|Scarface|Donnie Brasco	Ford v Ferrari|Need for Speed|Wanted|The Wannabe|Goodfellas|Driven|Faster|Furious 7|Assassins|Search and Destroy|Shooter|Find Me Guilty|The Irishman|Jack Reacher|Wanted: Dead or Alive|Diary of a Hitman|Overdrive|The Rover|Parker|Rush|Heat|Pain & Gain|Killer Elite|Collateral|Finding Forrester|Drive Hard|Getaway|Hudson Hawk|Target|The Nice Guys|American Gangster|Heatseeker|The Fate of the Furious|Usual Suspects, The|Maverick|Good Will Hunting|Strays|Lethal Weapon|Domino|The Chase|Rounders|Drive|Hunter Killer|Bleed for This|The Nice Guys|Baby Driver|Mean Streets|Redline|Bobby Deerfield|John Wick|The Collectors|Seeking Justice|The Nice Guys|Raging Bull|Ghost Dog: The Way of the Samurai|Scarface|Fear and Loathing in Las Vegas|Killing Season|Boone: The Bounty Hunter|Wyatt Earp|Killers|Things to Do in Denver When You're Dead|Indiana Jones and the Last Crusade|Guy|Most Wanted|Black Mass|Avenging Angelo|Blunt Force Trauma|Dangerous Game|Get Shorty|Days of Thunder|Mission: Impossible|Once Upon a Time in Venice|Get Carter|Harley Davidson and the Marlboro Man|Lethal Weapon 4|Fury|Dog Eat Dog|Takers|Sicario|Fast & Furious 6|Donnie Brasco|Roadracers|Mechanic: Resurrection|Headhunters|Righteous Kill|Ronin|The Nice Guys|Grosse Pointe Blank|Mechanic: Resurrection|Big Lebowski, The|Above the Law|Out for Justice|Gotti|The Hunter's Prayer|A Most Wanted Man|The Revenant|Kick|Thief|Out for a Kill	0.0
20191128-144027_574_live.pkl	Guardians of the Galaxy (2014)	The seeker is looking for action comedy movies with good pacing and effects. They enjoy movies with a mix of action and humor, as seen in 'Avengers: Endgame' and 'Deadpool'. They are fans of actors like Chris Pratt and Will Smith.	Guardians of the Galaxy|Deadpool|Guardians of the Galaxy Vol. 2|Men in Black|Deadpool 2	Deadpool|Deadpool 2|Suicide Squad|Guardians of the Galaxy|Guardians of the Galaxy|Avengers: Endgame|Bright|Gemini Man|Guardians of the Galaxy Vol. 2|Bad Boys for Life|Guardians of the Galaxy Vol. 2|Ant-Man and the Wasp|John Wick|Wanted|Avengers: Infinity War|Avengers: Age of Ultron|Furious 7|The Avengers|Ant-Man|Ready Player One|Ready Player One|Star Wars: The Last Jedi|Focus|21 Jump Street|Spies in Disguise|Thor: Ragnarok|Spy|The Equalizer 2|Aquaman|Mr. Right|Looper|Captain America: The First Avenger|John Wick: Chapter 2|22 Jump Street|Black Panther|The Predator|American Ultra|Fantastic Four|The Nice Guys|Kick-Ass|Transformers: The Last Knight|Star Wars: The Rise of Skywalker|Knight and Day|G.I. Joe: Retaliation|Sparks|Hunter Killer|Army of One|Hancock|The Nice Guys|Takers|Killing Gunther|Get Smart|Faster|Get Santa|Nerdland|War Machine|Pixels|The Nice Guys|The Hunter's Prayer|Jack Reacher|MacGruber|Power Rangers|Ad Astra|Boone: The Bounty Hunter|Megamind|6 Underground|The Nice Guys|Planet 51|Passengers|Baywatch|Hot Pursuit|Need for Speed|Free Fire|Killers|Paul Blart: Mall Cop 2|Kin|Doctor Strange|Shooter|Get Hard|Transformers: Age of Extinction|Ghostbusters|Fast & Furious 6|Inception|After Earth|Kick|Gringo|Jason Bourne|Interstellar|The Fate of the Furious|Captain Marvel|The Equalizer|Operation Endgame|The Throwaways|Extraction|Jupiter Ascending|Super|Edge of Tomorrow|Zombieland: Double Tap|Captain America: The Winter Soldier	1.0
